Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Do Your Thng,2018.0,Gurugram,Marketing,World's first shared economy platform for digital assets.,Ankit Agarwal,"Angelbay Holdings, Faad Network",1500000.0,Series I,2020-01-01
Oye Rickshaw,2017.0,Gurugram,Transport,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Akash Deep, Mohit Sharma","Alteria Capital, Chiratae Ventures",3000000.0,Debt Financing,2020-01-01
Legitquest,2017.0,New Delhi,LegalTech,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge",600000.0,Series D1,2020-01-01
Swiggy,2014.0,Bengaluru,Food delivery,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,Kunal Shah,"Carmignac, Falcon Edge Capital",800000000.0,Bridge,2020-01-01
AntWak,2019.0,Bengaluru,EdTech,AntWak provides a video platform for e-learning service.,"Basav Nagur, Joybroto Ganguly, Sudhanshu Shekhar, Sumit Gupta, Sriramkumar Sundararaman","Vaibhav Domkundwar, Kunal Shah",4000000.0,Seed,2020-01-01
PlayShifu,2016.0,Bengaluru,EdTech,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund",17000000.0,Series B,2020-01-01
Pitstop,2015.0,Bengaluru,Transport,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",3500000.0,Series I,2020-01-01
Lendingkart,1999.0,Gujarat,Finance,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Harshvardhan Lunia, Mukul Sachan",Tiger Global,15000000.0,Seed Funding,2020-01-01
CRED,2018.0,Bengaluru,Finance,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management",215000000.0,Series D,2020-01-01
Karnival,2015.0,Bengaluru,SaaS startup,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj Tyagi,http://100x.vc/,2500000.0,Seed,2020-01-01
PharmEasy,2015.0,Mumbai,HealthTech,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","Ashneer Grover, Shashvat Nakrani","TPG Growth, Caisse de Depot et Placement du Quebec",350000000.0,Series E,2020-01-01
WESS,1989.0,Mumbai,Renewable Energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Hitesh Doshi,Sixth Sense Ventures,2000000.0,Seed,2020-01-01
ShopSe,2020.0,Mumbai,Finance,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai","Chiratae Ventures, BEENEXT",5500000.0,Seed Round,2020-01-01
Fantasy Akhada,2020.0,Gurugram,Fantasy sports,Fantasy Akhada offers fantasy sports platform for cricket and football.,Amit Purohit,Harsha Bhogle,600000.0,Series D1,2020-01-01
Rage Coffee,2018.0,New Delhi,Food & Beverages,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,Bharat Sethi,"GetVantage, Prakash Katama",4000000.0,Series G,2020-01-01
Groww,2017.0,Bengaluru,Finance,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Tiger Global Management, Y Combinator Continuity Fund",83000000.0,Series D,2020-01-01
Avanti Finance,2016.0,Bengaluru,Finance,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,Kshama Fernandes,Michael & Susan Dell Foundation,26000000.0,Series A,2020-01-01
Kudos,2014.0,Pune,Finance,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",Naresh Vigh,Marquee fintech founders,4000000.0,Series D1,2020-01-01
OfBusiness,2015.0,Gurugram,Finance,OfBusiness is a financing platform that offers smart financing to SMEs.,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge India, Norwest Venture Partners",110000000.0,Venture - Series Unknown,2020-01-01
Superpro.ai,2019.0,Bengaluru,Video communication,Enabling independent professionals to bring offline consulting online with AI,"Gaurav Tripathi, Sagar Ramteke, Vijay Goel, Vivek Kumar","SOSV, Omphalos Ventures India",3000000.0,Seed,2020-01-01
ShareChat,2015.0,Bengaluru,Social Media,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Twitter Ventures, Pawan Munjal",500000000.0,Series C,2020-01-01
WiT-ACE,2020.0,Gurugram,Skill development,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",Anuranjita Kumar,CitiusTech,1000000.0,Seed,2020-01-01
Spinny,2015.0,Gurugram,Retail,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments",65000000.0,Series C,2020-01-01
Alteria Capital,2018.0,Mumbai,Finance,Alteria Capital is a Venture debt firm .,Vinod Murali,Y Combinator,150000000000.0,Series F,2020-01-01
Safexpay,2017.0,Thane,Finance,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,Ravi Gupta,"T Choithrams BVI, Ardor",6000000.0,Venture - Series Unknown,2020-01-01
PumPumPum,2018.0,Gurugram,Rental,Pumpumpum is a car rental company.,"Tarun Lawadia, Sameer Kalra",Unicorn India Ventures,700000.0,Venture - Series Unknown,2020-01-01
Speciale Invest,2017.0,Bengaluru,Finance,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,"Vishesh Rajaram, Arjun Rao",Better Capital,10000000.0,Early Seed,2020-01-01
Eunimart,2016.0,Hyderabad,E-commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt",700000.0,Series I,2020-01-01
Meesho,2015.0,Bengaluru,E-commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway",300000000.0,Bridge,2020-01-01
CareerLabs,2019.0,Bengaluru,EdTech,"Aim to help students become future-ready, setting them on a path to success that suits them best.","PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,2200000.0,Series A,2020-01-01
Uable,2020.0,Bengaluru,EdTech,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,Saurabh Saxena,"JAFCO Asia, Chiratae Ventures",35000000.0,Venture - Series Unknown,2020-01-01
Zoko,2016.0,Bengaluru,Tech Startup,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.","Arjun Paul, Aromal Sivadasan",Y Combinator,140000000.0,Seed,2020-01-01
GetWork,2019.0,Gurugram,Recruitment,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,Artha Venture Fund,200000.0,Seed,2020-01-01
Easebuzz,2015.0,Pune,E-commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,Rohit Prasad,"Jitendra Gupta, Amrish Rau",4000000.0,Series A,2020-01-01
Chingari,2018.0,Bengaluru,Social Media,Chingari operates as a short video platform.,Sumit Ghosh,"FJ Labs, Brian Norgard",13000000.0,Bridge,2020-01-01
DusMinute,2017.0,Bengaluru,Retail,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva Mishra,Indian Angel Network,1100000.0,Private Equity,2020-01-01
Onsurity,2020.0,Bengaluru,HealthCare,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,"Kulin Shah, Yogesh Agarwal","Jitendra Gupta, Harsh Shah",4000000.0,Series F,2020-01-01
Karbon Card,2019.0,Bengaluru,Finance,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",Y Combinator,4000000.0,Debt Financing,2020-01-01
Factors.AI,2020.0,Bengaluru,SaaS startup,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers","Aravind Murthy, Praveen Das, Srikrishna Swaminathan","Elevation Partners, Emergent Ventures",2000000.0,Pre-Seed,2020-01-01
Elevar,2017.0,Mumbai,Sports,"A Revolutionary Sports Brand, Engineered For Those Who Want More.","Kunal Joshi, Pranav Marwah","Kalaari Capital, Dream Capital",2000000.0,Series C,2020-01-01
Studio Sirah,2020.0,Bengaluru,Computer Games,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,"Abhaas Shah, Prateek Shah",Lumikai,800000.0,Series G,2020-01-01
OTO Capital,2018.0,Mumbai,Finance,The Future Of Vehicle Ownership!,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,6000000.0,Series I,2020-01-01
1Bridge,2016.0,Bengaluru,Consumer Goods,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village","Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,2500000.0,Series E,2020-01-01
Skeps,2018.0,Gurugram,Finance,"A blockchain products company, developing a proprietary product in the FinTech space","Mayank Tewari, Tushar Srivastava",Bertelsmann India,9500000.0,Series G,2020-01-01
Curefoods,2020.0,Bengaluru,Food & Beverages,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000.0,Seed,2020-01-01
TartanSense,2015.0,Bengaluru,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000.0,Series D,2020-01-01
Bewakoof,2012.0,Mumbai,Apparel & Fashion,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,8000000.0,Private Equity,2020-01-01
Kirana247,2018.0,New Delhi,Transport,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",Mumbai Angels Network,1000000.0,Series D,2020-01-01
FanPlay,2020.0,Computer Games,Computer Games,A real money game app specializing in trivia games,YC W21,"Pritesh Kumar, Bharat Gupta",4000000.0,Fresh Funding,2020-01-01
NeoDocs,2020.0,Mumbai,Healthtech,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",4000000.0,Seed Round,2020-01-01
IsGoingOnline,2015.0,Cochin,Retail,Kochi-based digital catalogue and marketplace IsGoingOnline,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000.0,Debt Financing,2020-01-01
Camp K12,2010.0,Gurugram,EdTech,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000.0,Series I,2020-01-01
Elda Health,2020.0,Bengaluru,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",Sahil Barua,"Avaana Capital, Orios Ventures",1500000.0,Series H,2020-01-01
Sporjo,2020.0,Mumbai,SportsTech,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000.0,Series G,2020-01-01
Advantage Club,2014.0,Mumbai,HRTech,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000.0,Series C,2020-01-01
SuperGaming,2017.0,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,Series C,2020-01-01
Ruptok,2020.0,New Delhi,Finance,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,1000000.0,Seed Funding,2020-01-01
Curefoods,2020.0,Bengaluru,Food & Beverages,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000.0,Venture - Series Unknown,2020-01-01
TartanSense,2015.0,Bengaluru,Information Technology,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000.0,Series A,2020-01-01
Bewakoof,2012.0,Mumbai,Apparel & Fashion,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Prabhkiran Singh,InvestCorp,8000000.0,Early Seed,2020-01-01
Kirana247,2018.0,New Delhi,Transport,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",SucSEED Indovation Fund,1000000.0,Series C,2020-01-01
FanPlay,2020.0,Computer Games,Computer Games,A real money game app specializing in trivia games,YC W21,"Pritesh Kumar, Bharat Gupta",4000000.0,Series B+,2020-01-01
NeoDocs,2020.0,Mumbai,Healthtech,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.","Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",4000000.0,Seed Funding,2020-01-01
Camp K12,2010.0,Gurugram,EdTech,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000.0,Series A,2020-01-01
Elda Health,2020.0,Bengaluru,Healthcare,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",Utham Gowda,"Avaana Capital, Orios Ventures",1500000.0,Seed,2020-01-01
Sporjo,2020.0,Mumbai,SportsTech,A one stop destination to build a successful career in the Indian sports industry!,G Srinivvasan,Punit Balan,2000000.0,Venture - Series Unknown,2020-01-01
Advantage Club,2014.0,Mumbai,HRTech,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:","Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000.0,Series B,2020-01-01
SuperGaming,2017.0,Pune,Gaming,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000.0,Series A,2020-01-01
Ruptok,2020.0,New Delhi,Finance,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,1000000.0,Series A+,2020-01-01
O’ Be Cocktails,2019.0,Bengaluru,Wine & Spirits,India’s first and only Ready to Drink Premium Cocktails.,Nitesh Prakash,"First Cheque, Letsventure",400000.0,Pre-Seed,2020-01-01
Zetwerk,2018.0,Bengaluru,Mechanical & Industrial Engineering,ZETWERK is a universal manufacturing network powered by new-age technology.,Kunal Shah,Better Capital,150000000.0,Series E,2020-01-01
AppsForBharat,2020.0,Bengaluru,Spiritual,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",Prashant Sachan,"Sequoia Capital India, BEENEXT",4000000.0,Seed,2020-01-01
Imagimake,2011.0,Mumbai,Consumer Goods,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.","Disha Katharani, Ravi Jalan",Velocity,4000000.0,Series A+,2020-01-01
Khatabook,2018.0,Bengaluru,Finance,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,"Ravish Naresh, Ashish Sonone","Tribe Capital, Moore Strategic Ventures (MSV)",100000000.0,Series C,2020-01-01
Smytten,2015.0,Gurugram,Consumer Goods,India's largest premium discovery and trial platform!,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Fireside Ventures,6000000.0,Series A,2020-01-01
